latitudeAirport,longitudeAirport,nameAirport,nameCountry
-27.366667,-56.85,Ayolas,Paraguay
-13.197222,-74.24722,Yanamilla,Peru
-25.190878,130.97658,Connellan,Australia
-19.596666,147.32445,Ayr,Australia
31.248611,-82.39667,Ware County,United States
36.89928,30.80135,Antalya,Turkey
-6.333333,145.9,Aiyura,Papua New Guinea
-1.2,132.5,Ayawasi,Indonesia
6.855,81.8311,Arugam Bay SPB,Sri Lanka
33.307777,-111.655556,Williams Gateway,United States
-10.15,148.81667,Amazon Bay,Papua New Guinea
31.903603,54.283264,Yazd,Iran
19.068056,-102.352776,Apatzingan,Mexico
24.419167,54.451668,Bateen,United Arab Emirates
-13.47,-58.85,Fazenda Tucunare,Brazil
40.733334,72.3,Andizhan,Uzbekistan
42.239964,-85.55656,Kalamazoo/Battle Creek International,United States
19.416668,-99.1,Atizapan,Mexico
27.883333,-0.283333,Adrar,
19.270555,-69.736946,Samanì El Catey International,Dominican Republic
6.866667,-73.25,Zapatoca,Colombia
-7.883333,13.15,Ambriz,Angola
-5.316667,151.03334,Bialla,Papua New Guinea
39.15,-121.583336,Beale AFB,United States
4.583333,-72.96667,Barranca De Upia,Colombia
32.5,-93.666664,Barksdale AFB,United States
44.38333,6.666667,Barcelonnette,France
42.13333,-72.75,Barnes,United States
16.376667,120.617775,Loakan,Philippines
26.26918,50.62605,Bahrain International,Bahrain
9.166667,-83.333336,Buenos Aires,Costa Rica
-4.833333,149.13333,Bali,Papua New Guinea
37.916668,41.083332,Batman,Turkey
40.63333,-116.933334,Lander County,United States
-4.313333,20.428057,Basongo,Democratic Republic of the Congo
17.385,102.79278,Udorn,Thailand
10.886398,-74.77618,E Cortissoz,Colombia
55.333332,-133.6,Baker AAF,United States
-6.983333,155.88333,Balalae,Solomon Islands
-20.55,-48.55,Airport Chafei Amsei,Brazil
-22.343056,-49.0525,Bauru,Italy
40.563328,110.0009,Baotou,China
-0.666667,146.35,Biawonque,Gabon
53.361088,83.547646,Barnaul,Russia
47.65,23.466667,Baia Mare,Romania
-0.966944,-62.933613,Barbelos,Brazil
-45.916668,-71.695,Teniente Vidal,
45.316666,-95.6,Municipal,United States
28.983334,-95.96667,Bay City,United States
31.133333,-99.333336,Curtis Field,United States
42.5,-71.183334,Burlington,United States
3.166667,172.75,Butaritari,Kiribati
54.33972,12.711667,Barth,Germany
20.252853,85.81738,Bhubaneswar,India
49.966667,6.516667,Bitburg Air Base,Germany
-17.816668,25.15,Kasane,Botswana
13.116667,103.2,Battambang,Cambodia
3.683333,115.46667,Bario,Malaysia
10.419444,45.00639,Berbera,Somalia
50.683334,-1.083333,Bembridge,United Kingdom
17.555555,-61.765,Barbuda,
16.01639,-61.739445,Baillif,Guadeloupe
51.333332,-0.85,Blackbushe,United Kingdom
4.219167,15.788056,Berberati,Central African Republic
44.495934,26.080996,Baneasa,Romania
4.666667,-6.95,Hkg,
41.4,-99.63333,Broken Bow,United States
40.136665,-75.2675,Wings Field,United States
5.845833,20.649721,Bambari,Central African Republic
-13.537222,23.11,Zambezi,Zambia
20.35,-74.5,Baracoa,Cuba
37.233334,-80.416664,Virginia Tech,United States
45.183334,-109.1,Bear Creek,United States
10.644815,122.93359,Bacolod,Philippines
37.70111,-112.13528,Bryce,United States
6.75,18.416668,Bouca,Central African Republic
6.55,-58.55,Bemichi,Guyana
-8.491667,126.39972,Cakung International,East Timor
-23.559168,145.30194,Barcaldine,Australia
-17.4,144.16667,Bolwarra,Australia
10.833333,-82.96667,Barra Colorado,Costa Rica
46.59861,26.881945,Bacau,Romania
41.30303,2.07593,El Prat De Llobregat,Spain
5.783333,36.55,Jinka,Ethiopia
-5.85,146.48334,Bambu,Papua New Guinea
27.683332,14.216667,Brack,Libya
-8.75,-67.38333,Boca Do Acre,Brazil
29.966667,-90,Southern Seaplane,United States
26.35,-80.083336,Public,United States
10.366667,9.8,Bauchi,Nigeria
17.266666,-88.78333,Belmopan,Belize
-21.884722,35.425,Benguera Island,Mozambique
53.933334,58.333332,Beloreck,Russia
6.216667,36.666668,Bulchi,Ethiopia
-13.783333,137.8,Bickerton Island,Australia
32.35994,-64.70115,L. F. Wade International,Bermuda
-24.898708,152.32187,Bundaberg,Australia
-5.466667,-45.266666,Barra Do Corda,Brazil
-10.148655,142.17166,Badu Island,Australia
48.72278,-94.60694,Baudette,United States
41.183334,-89.65,Rinkenberger,United States
37.61667,-109.48333,Blanding,United States
26.529486,54.829147,Bandar Lengeh,Iran
-3.716667,55.216667,Bird Island,Seychelles
-3.43804,114.75425,Sjamsudin Noor,Indonesia
8.033333,-2.8,Bondoukou,
41.92953,-72.6847,Bradley International,United States
40.318333,27.977222,Bandirma,Turkey
24.633333,68.9,Talhar,Pakistan
-6.904648,107.58178,Husein Sastranegara,Indonesia
26.533333,88.083336,Bhadrapur,Nepal
22.329077,73.2157,Vadodara,India
41.164165,-73.12444,Igor I. Sikorsky Memorial,United States
