latitudeAirport,longitudeAirport,nameAirport,nameCountry,geometry
-6.216216,-42.253161,unkown,unkown,POINT (-42.253161 -6.216216)
-6.216216,-41.346932,unkown,unkown,POINT (-41.346932 -6.216216)
-6.216216,-40.440702,unkown,unkown,POINT (-40.440702 -6.216216)
-6.216216,-39.534473,unkown,unkown,POINT (-39.534473 -6.216216)
-6.216216,-38.628244,unkown,unkown,POINT (-38.628244 -6.216216)
-6.216216,-37.722015,unkown,unkown,POINT (-37.722015 -6.216216)
-6.216216,-36.815786,unkown,unkown,POINT (-36.815786 -6.216216)
-6.216216,-35.909556,unkown,unkown,POINT (-35.909556 -6.216216)
-6.216216,-35.003327,unkown,unkown,POINT (-35.003327 -6.216216)
-6.216216,-34.097098,unkown,unkown,POINT (-34.097098 -6.216216)
-5.315315,-43.376479,unkown,unkown,POINT (-43.376479 -5.315315)
-5.315315,-42.471687,unkown,unkown,POINT (-42.471687 -5.315315)
-5.315315,-41.566896,unkown,unkown,POINT (-41.566896 -5.315315)
-5.315315,-40.662104,unkown,unkown,POINT (-40.662104 -5.315315)
-5.315315,-39.757313,unkown,unkown,POINT (-39.757313 -5.315315)
-5.315315,-38.852521,unkown,unkown,POINT (-38.852521 -5.315315)
-5.315315,-37.94773,unkown,unkown,POINT (-37.94773 -5.315315)
-5.315315,-37.042938,unkown,unkown,POINT (-37.042938 -5.315315)
-5.315315,-36.138147,unkown,unkown,POINT (-36.138147 -5.315315)
-5.315315,-35.233355,unkown,unkown,POINT (-35.233355 -5.315315)
-5.315315,-34.328564,unkown,unkown,POINT (-34.328564 -5.315315)
-5.315315,-33.423772,unkown,unkown,POINT (-33.423772 -5.315315)
-4.414414,-42.65562,unkown,unkown,POINT (-42.65562 -4.414414)
-4.414414,-41.752038,unkown,unkown,POINT (-41.752038 -4.414414)
-4.414414,-40.848457,unkown,unkown,POINT (-40.848457 -4.414414)
-4.414414,-39.944876,unkown,unkown,POINT (-39.944876 -4.414414)
-4.414414,-39.041294,unkown,unkown,POINT (-39.041294 -4.414414)
-4.414414,-38.137713,unkown,unkown,POINT (-38.137713 -4.414414)
-4.414414,-37.234131,unkown,unkown,POINT (-37.234131 -4.414414)
-4.414414,-36.33055,unkown,unkown,POINT (-36.33055 -4.414414)
-4.414414,-35.426968,unkown,unkown,POINT (-35.426968 -4.414414)
-4.414414,-34.523387,unkown,unkown,POINT (-34.523387 -4.414414)
-4.414414,-33.619805,unkown,unkown,POINT (-33.619805 -4.414414)
-4.414414,-32.716224,unkown,unkown,POINT (-32.716224 -4.414414)
-3.513514,-41.90259,unkown,unkown,POINT (-41.90259 -3.513514)
-3.513514,-40.999993,unkown,unkown,POINT (-40.999993 -3.513514)
-3.513514,-40.097396,unkown,unkown,POINT (-40.097396 -3.513514)
-3.513514,-39.194798,unkown,unkown,POINT (-39.194798 -3.513514)
-3.513514,-38.292201,unkown,unkown,POINT (-38.292201 -3.513514)
-3.513514,-37.389603,unkown,unkown,POINT (-37.389603 -3.513514)
-3.513514,-36.487006,unkown,unkown,POINT (-36.487006 -3.513514)
-3.513514,-35.584408,unkown,unkown,POINT (-35.584408 -3.513514)
-3.513514,-34.681811,unkown,unkown,POINT (-34.681811 -3.513514)
-3.513514,-33.779213,unkown,unkown,POINT (-33.779213 -3.513514)
-3.513514,-32.876616,unkown,unkown,POINT (-32.876616 -3.513514)
-3.513514,-31.974018,unkown,unkown,POINT (-31.974018 -3.513514)
-3.513514,-31.071421,unkown,unkown,POINT (-31.071421 -3.513514)
-2.612613,-41.116901,unkown,unkown,POINT (-41.116901 -2.612613)
-2.612613,-40.215062,unkown,unkown,POINT (-40.215062 -2.612613)
-2.612613,-39.313224,unkown,unkown,POINT (-39.313224 -2.612613)
-2.612613,-38.411386,unkown,unkown,POINT (-38.411386 -2.612613)
-2.612613,-37.509547,unkown,unkown,POINT (-37.509547 -2.612613)
-2.612613,-36.607709,unkown,unkown,POINT (-36.607709 -2.612613)
-2.612613,-35.705871,unkown,unkown,POINT (-35.705871 -2.612613)
-2.612613,-34.804032,unkown,unkown,POINT (-34.804032 -2.612613)
-2.612613,-33.902194,unkown,unkown,POINT (-33.902194 -2.612613)
-2.612613,-33.000356,unkown,unkown,POINT (-33.000356 -2.612613)
-2.612613,-32.098517,unkown,unkown,POINT (-32.098517 -2.612613)
-2.612613,-31.196679,unkown,unkown,POINT (-31.196679 -2.612613)
-2.612613,-30.294841,unkown,unkown,POINT (-30.294841 -2.612613)
-1.711712,-39.396719,unkown,unkown,POINT (-39.396719 -1.711712)
-1.711712,-38.495416,unkown,unkown,POINT (-38.495416 -1.711712)
-1.711712,-37.594113,unkown,unkown,POINT (-37.594113 -1.711712)
-1.711712,-36.69281,unkown,unkown,POINT (-36.69281 -1.711712)
-1.711712,-35.791506,unkown,unkown,POINT (-35.791506 -1.711712)
-1.711712,-34.890203,unkown,unkown,POINT (-34.890203 -1.711712)
-1.711712,-33.9889,unkown,unkown,POINT (-33.9889 -1.711712)
-1.711712,-33.087597,unkown,unkown,POINT (-33.087597 -1.711712)
-1.711712,-32.186294,unkown,unkown,POINT (-32.186294 -1.711712)
-1.711712,-31.284991,unkown,unkown,POINT (-31.284991 -1.711712)
-1.711712,-30.383688,unkown,unkown,POINT (-30.383688 -1.711712)
